"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"fare",18,10,45,8,0,42,16,10,49,32,12,35,4,26
"arrivare",4,3,0,47,0,1,13,0,4,3,1,89,1,34
"evitare",1,2,0,0,0,0,177,0,11,0,1,0,0,0
"venire",0,10,0,18,0,2,11,5,1,43,14,73,0,13
"sapere",0,4,5,2,0,1,0,1,4,49,36,5,1,3
"andare",1,6,0,3,0,19,0,1,4,7,0,15,1,50
"vedere",5,1,28,6,1,6,5,6,10,18,10,1,2,5
"diventare",22,0,0,17,0,3,2,0,2,5,3,32,1,12
"dare",8,1,16,0,0,16,9,4,12,8,6,1,1,13
"riuscire",4,1,0,36,0,0,0,2,2,5,1,32,0,7
"mettere",8,2,10,0,0,19,3,1,7,10,1,4,0,19
"trovare",3,0,4,25,0,5,5,7,5,8,7,2,1,8
"stare",0,10,0,10,0,12,0,0,2,29,13,1,0,0
"esistere",0,27,0,12,0,0,0,0,0,11,17,8,0,1
"iniziare",0,5,0,4,0,0,0,1,1,1,1,46,1,16
"consentire",1,0,2,0,0,1,40,0,2,14,15,0,0,0
"entrare",3,3,3,5,0,2,0,1,4,6,2,21,1,20
"sentire",6,1,10,28,0,2,2,1,3,7,7,2,2,0
"prendere",6,1,14,4,0,7,1,6,4,3,3,4,0,14
"dire",0,1,0,0,0,10,1,0,13,21,10,2,0,8
"tornare",0,1,0,8,0,9,0,1,5,5,0,15,0,21
"cominciare",1,3,0,11,0,1,0,0,2,5,1,25,1,12
"lasciare",4,4,10,0,0,11,1,4,2,4,2,2,1,17
"parlare",0,0,7,3,0,6,2,1,4,10,5,3,1,19
"morire",0,1,0,5,0,1,0,0,2,0,3,19,0,28
"partire",0,0,0,0,0,1,0,0,3,0,1,26,0,26
"considerare",36,0,1,0,1,0,1,8,0,6,3,0,0,0
"durare",0,0,0,55,0,0,0,0,0,1,0,0,0,0
"vivere",2,9,2,20,0,2,1,1,2,8,9,0,0,0
"portare",3,2,2,2,1,2,1,7,8,8,7,0,3,8
"uscire",0,5,0,6,0,4,1,0,5,1,0,14,0,18
"pensare",4,1,0,4,0,2,3,0,1,26,9,0,0,3
"uccidere",1,0,9,0,0,1,0,9,4,1,0,0,22,5
"ottenere",3,0,5,1,0,1,25,0,10,2,0,1,1,1
"giungere",0,1,0,36,0,1,2,0,3,1,0,5,0,0
"rimanere",0,0,2,28,0,3,3,1,0,4,6,1,0,0
"passare",1,1,7,4,0,6,0,0,3,6,2,8,0,9
"raggiungere",2,0,4,7,0,0,6,1,5,0,2,4,3,11
"ricevere",3,2,19,0,0,2,0,3,3,1,4,0,6,2
"conoscere",1,7,6,1,0,0,1,0,4,12,8,1,1,2
"usare",10,1,3,0,0,7,3,5,1,3,4,0,2,5
"capire",3,0,1,3,0,4,1,2,11,7,2,5,1,3
"sembrare",0,1,0,4,0,0,5,0,0,12,18,0,0,0
"continuare",0,0,0,10,0,2,3,0,2,14,4,0,0,4
"utilizzare",8,1,1,0,0,4,1,12,0,3,5,0,2,2
"finire",3,0,5,3,0,0,0,0,3,3,0,15,1,5
"rendere",4,0,0,0,1,1,12,3,5,4,2,0,1,4
"rispondere",0,0,1,0,0,5,1,0,4,1,3,4,0,18
"perdere",5,1,15,0,0,2,1,2,0,2,2,3,0,3
"assicurare",0,0,0,0,0,0,28,0,5,0,1,0,1,0
"costringere",23,0,1,1,0,1,0,1,1,3,0,0,2,0
"permettere",1,0,0,0,0,1,9,1,2,4,15,0,0,0
"restare",0,0,0,17,0,4,1,0,3,5,1,1,0,0
"chiudere",0,0,5,1,0,4,1,0,1,1,1,9,0,8
"mancare",0,0,1,1,0,0,0,1,0,15,12,1,0,0
"nascere",0,5,0,0,0,0,0,2,0,3,5,14,0,2
"cercare",0,0,2,1,0,9,4,3,3,5,1,1,0,1
"cadere",0,1,1,8,0,2,0,1,2,1,2,8,0,3
"toccare",3,0,13,0,0,0,0,0,1,3,1,4,0,4
"credere",0,0,1,4,0,0,0,1,1,9,11,0,0,1
"decidere",2,1,0,6,0,0,2,1,1,0,2,5,0,8
"ritenere",1,0,0,0,0,0,0,3,0,9,15,0,0,0
"leggere",0,0,15,0,0,3,0,6,0,2,0,0,0,1
"chiamare",11,0,0,0,0,2,0,2,0,3,1,2,3,2
"garantire",1,0,0,0,0,2,17,0,3,0,3,0,0,0
"assumere",5,0,6,1,0,3,0,1,1,2,0,3,3,0
"lavorare",0,9,3,0,0,3,0,1,1,5,2,0,0,1
"tentare",2,0,5,0,0,3,3,4,2,1,2,2,0,1
"risultare",0,0,0,5,0,0,3,0,0,5,11,0,0,0
"seguire",0,0,3,1,0,6,0,1,3,5,4,0,0,1
"tenere",3,1,0,3,0,3,3,0,7,3,1,0,0,0
"aprire",0,0,0,1,0,4,1,0,2,2,1,7,0,5
"aiutare",0,0,0,0,0,8,0,5,6,1,1,0,1,0
"rappresentare",1,0,0,1,0,0,1,1,0,5,13,0,0,0
"realizzare",0,0,2,1,0,1,3,8,3,2,1,0,0,1
"scomparire",0,0,0,5,0,4,1,0,0,1,1,8,0,2
"chiedere",2,0,3,1,0,3,0,2,3,1,0,0,0,6
"incontrare",0,0,1,4,0,1,1,1,0,0,1,3,1,8
"provare",0,0,6,1,0,5,2,0,1,2,1,1,1,1
"scendere",0,0,0,2,0,5,0,1,0,0,1,7,0,5
"servire",0,1,0,0,0,1,1,0,1,4,1,0,0,12
"temere",0,0,0,0,0,1,0,1,0,11,8,0,0,0
"creare",1,0,0,0,0,2,7,0,7,0,3,0,0,0
"mangiare",0,0,12,0,0,2,0,2,0,1,1,0,1,1
